pid,first_name,last_name,party,state
D000602,Artur,Davis,Democrat,AL
D000603,Geoff,Davis,Republican,KY
D000604,Charles,Dent,Republican,PA
D000607,Joe,Donnelly,Democrat,IN
D000608,Kathleen,Dahlkemper,Democrat,PA
D000609,Steve,Driehaus,Democrat,OH
D000610,Theodore,Deutch,Democrat,FL
D000611,Charles,Djou,Republican,HI
D000612,Jeff,Denham,Republican,CA
D000613,Bob,Dold,Republican,IL
D000614,Sean,Duffy,Republican,WI
D000615,Jeff,Duncan,Republican,SC
D000616,Scott,DesJarlais,Republican,TN
D000617,Suzan,DelBene,Democrat,WA
D000618,Steve,Daines,Republican,MT
D000619,Rodney,Davis,Republican,IL
D000620,John,Delaney,Democrat,MD
D000621,Ron,DeSantis,Republican,FL
D000622,Tammy,Duckworth,Democrat,IL
D000623,Mark,DeSaulnier,Democrat,CA
D000624,Debbie,Dingell,Democrat,MI
D000625,Daniel,Donovan,Republican,NY
D000626,Warren,Davidson,Republican,OH
E000063,Thomas,Edwards,Democrat,TX
E000092,Vernon,Ehlers,Republican,MI
E000172,Jo Ann,Emerson,Republican,MO
E000179,Eliot,Engel,Democrat,NY
E000194,John,Ensign,Republican,NV
E000215,Anna,Eshoo,Democrat,CA
E000226,Bob,Etheridge,Democrat,NC
E000285,Michael,Enzi,Republican,WY
E000288,Keith,Ellison,Democrat,MN
E000289,Brad,Ellsworth,Democrat,IN
E000290,Donna,Edwards,Democrat,MD
E000291,Renee,Ellmers,Republican,NC
E000292,William,Enyart,Democrat,IL
E000293,Elizabeth,Esty,Democrat,CT
E000294,Tom,Emmer,Republican,MN
E000295,Joni,Ernst,Republican,IA
F000010,Eni,Faleomavaega,Democrat,AS
F000030,Sam,Farr,Democrat,CA
F000043,Chaka,Fattah,Democrat,PA
F000061,Russell,Feingold,Democrat,WI
F000062,Dianne,Feinstein,Democrat,CA
F000116,Bob,Filner,Democrat,CA
F000339,Barney,Frank,Democrat,MA
F000372,Rodney,Frelinghuysen,Republican,NJ
F000444,Jeff,Flake,Republican,AZ
F000445,J.,Forbes,Republican,VA
F000448,Trent,Franks,Republican,AZ
F000449,Jeff,Fortenberry,Republican,NE
F000450,Virginia,Foxx,Republican,NC
F000451,Michael,Fitzpatrick,Republican,PA
F000453,Mary,Fallin,Republican,OK
F000454,Bill,Foster,Democrat,IL
F000455,Marcia,Fudge,Democrat,OH
F000456,John,Fleming,Republican,LA
F000457,Alan,Franken,Democrat,MN
F000458,Stephen,Fincher,Republican,TN
F000459,Charles,Fleischmann,Republican,TN
F000460,Blake,Farenthold,Republican,TX
F000461,Bill,Flores,Republican,TX
F000462,Lois,Frankel,Democrat,FL
F000463,Deb,Fischer,Republican,NE
G000021,Elton,Gallegly,Republican,CA
G000289,Bob,Goodlatte,Republican,VA
G000309,Barton,Gordon,Democrat,TN
G000359,Lindsey,Graham,Republican,SC
G000377,Kay,Granger,Republican,TX
G000386,Charles,Grassley,Republican,IA
G000410,Gene,Green,Democrat,TX
G000445,Judd,Gregg,Republican,NH
G000535,Luis,Gutiérrez,Democrat,IL
G000544,Charles,Gonzalez,Democrat,TX
G000546,Sam,Graves,Republican,MO
G000548,Scott,Garrett,Republican,NJ
G000549,Jim,Gerlach,Republican,PA
G000550,Phil,Gingrey,Republican,GA
G000551,Raúl,Grijalva,Democrat,AZ
G000552,Louie,Gohmert,Republican,TX
G000553,Al,Green,Democrat,TX
G000554,Gabrielle,Giffords,Democrat,AZ
G000555,Kirsten,Gillibrand,Democrat,NY
G000556,Alan,Grayson,Democrat,FL
G000557,Parker,Griffith,Republican,AL
G000558,Brett,Guthrie,Republican,KY
G000559,John,Garamendi,Democrat,CA
G000560,Tom,Graves,Republican,GA
G000561,Carte,Goodwin,Democrat,WV
G000562,Cory,Gardner,Republican,CO
G000563,Bob,Gibbs,Republican,OH
G000564,Christopher,Gibson,Republican,NY
G000565,Paul,Gosar,Republican,AZ
G000566,Trey,Gowdy,Republican,SC
G000567,Tim,Griffin,Republican,AR
G000568,H.,Griffith,Republican,VA
G000569,Michael,Grimm,Republican,NY
G000570,Frank,Guinta,Republican,NH
G000571,Tulsi,Gabbard,Democrat,HI
G000572,Pete,Gallego,Democrat,TX
G000573,Joe,Garcia,Democrat,FL
G000574,Ruben,Gallego,Democrat,AZ
G000575,Gwen,Graham,Democrat,FL
G000576,Glenn,Grothman,Republican,WI
G000577,Garret,Graves,Republican,LA
H000067,Ralph,Hall,Democrat,TX
H000206,Thomas,Harkin,Democrat,IA
H000213,Jane,Harman,Democrat,CA
H000324,Alcee,Hastings,Democrat,FL
H000329,Doc,Hastings,Republican,WA
H000338,Orrin,Hatch,Republican,UT
H000528,Walter,Herger,Republican,CA
H000627,Maurice,Hinchey,Democrat,NY
H000636,Rubén,Hinojosa,Democrat,TX
H000676,Peter,Hoekstra,Republican,MI
H000712,Tim,Holden,Democrat,PA
H000874,Steny,Hoyer,Democrat,MD
H001016,Kay,Hutchison,Republican,TX
H001030,Baron,Hill,Democrat,IN
H001032,Rush,Holt,Democrat,NJ
H001034,Michael,Honda,Democrat,CA
H001036,Jeb,Hensarling,Republican,TX
H001037,Stephanie,Herseth Sandlin,Democrat,SD
H001038,Brian,Higgins,Democrat,NY
H001039,John,Hall,Democrat,NY
H001040,Phil,Hare,Democrat,IL
H001041,Dean,Heller,Republican,NV
H001042,Mazie,Hirono,Democrat,HI
H001043,Paul,Hodes,Democrat,NH
H001044,Deborah,Halvorson,Democrat,IL
H001045,Gregg,Harper,Republican,MS
H001046,Martin,Heinrich,Democrat,NM
H001047,James,Himes,Democrat,CT
H001048,Duncan,Hunter,Republican,CA
H001049,Kay,Hagan,Democrat,NC
H001050,Colleen,Hanabusa,Democrat,HI
H001051,Richard,Hanna,Republican,NY
H001052,Andy,Harris,Republican,MD
H001053,Vicky,Hartzler,Republican,MO
H001054,Nan,Hayworth,Republican,NY
H001055,Joseph,Heck,Republican,NV
H001056,Jaime,Herrera Beutler,Republican,WA
H001057,Tim,Huelskamp,Republican,KS
H001058,Bill,Huizenga,Republican,MI
H001059,Randy,Hultgren,Republican,IL
H001060,Robert,Hurt,Republican,VA
H001061,John,Hoeven,Republican,ND
H001062,Kathleen,Hochul,Democrat,NY
H001063,Janice,Hahn,Democrat,CA
H001064,Denny,Heck,Democrat,WA
H001065,George,Holding,Republican,NC
H001066,Steven,Horsford,Democrat,NV
H001067,Richard,Hudson,Republican,NC
H001068,Jared,Huffman,Democrat,CA
H001069,Heidi,Heitkamp,Democrat,ND
H001070,Cresent,Hardy,Republican,NV
H001071,Jody,Hice,Republican,GA
H001072,French,Hill,Republican,AR
H001073,Will,Hurd,Republican,TX
I000023,Bob,Inglis,Republican,SC
I000024,James,Inhofe,Republican,OK
I000025,Daniel,Inouye,Democrat,HI
I000026,Jay,Inslee,Democrat,WA
I000055,John,Isakson,Republican,GA
I000056,Darrell,Issa,Republican,CA
I000057,Steve,Israel,Democrat,NY
J000032,Sheila,Jackson Lee,Democrat,TX
J000126,Eddie,Johnson,Democrat,TX
J000174,Sam,Johnson,Republican,TX
J000177,Tim,Johnson,Democrat,SD
J000255,Walter,Jones,Republican,NC
J000283,Jesse,Jackson,Democrat,IL
J000285,Timothy,Johnson,Republican,IL
J000288,Henry,Johnson,Democrat,GA
J000289,Jim,Jordan,Republican,OH
J000290,Lynn,Jenkins,Republican,KS
J000291,Mike,Johanns,Republican,NE
J000292,Bill,Johnson,Republican,OH
J000293,Ron,Johnson,Republican,WI
J000294,Hakeem,Jeffries,Democrat,NY
J000295,David,Joyce,Republican,OH
J000296,David,Jolly,Republican,FL
J000297,Evan,Jenkins,Republican,WV
K000008,Paul,Kanjorski,Democrat,PA
K000009,Marcy,Kaptur,Democrat,OH
K000105,Edward,Kennedy,Democrat,MA
K000113,Patrick,Kennedy,Democrat,RI
K000148,John,Kerry,Democrat,MA
K000172,Dale,Kildee,Democrat,MI
K000180,Carolyn,Kilpatrick,Democrat,MI
K000188,Ron,Kind,Democrat,WI
K000210,Peter,King,Republican,NY
K000220,Jack,Kingston,Republican,GA
K000305,Herbert,Kohl,Democrat,WI
K000336,Dennis,Kucinich,Democrat,OH
K000352,Jon,Kyl,Republican,AZ
K000360,Mark,Kirk,Republican,IL
K000362,Steve,King,Republican,IA
K000363,John,Kline,Republican,MN
K000365,Steve,Kagen,Democrat,WI
K000366,Ron,Klein,Democrat,FL
K000367,Amy,Klobuchar,Democrat,MN
K000368,Ann,Kirkpatrick,Democrat,AZ
K000369,Larry,Kissell,Democrat,NC
K000370,Suzanne,Kosmas,Democrat,FL
K000371,Frank,Kratovil,Democrat,MD
K000372,Mary Jo,Kilroy,Democrat,OH
K000373,Edward,Kaufman,Democrat,DE
K000374,Paul,Kirk,Democrat,MA
K000375,William,Keating,Democrat,MA
K000376,Mike,Kelly,Republican,PA
K000378,Adam,Kinzinger,Republican,IL
K000379,Joseph,Kennedy,Democrat,MA
K000380,Daniel,Kildee,Democrat,MI
K000381,Derek,Kilmer,Democrat,WA
